reward_A,loss_A,reward_B,loss_B,reward_C,loss_C,reward_D,loss_D,reward_E,loss_E,reward_F,loss_F
2.25,0.0,1.0,0.0,2.5,0.0,1.25,0.0,4.0,0.0,1.2222222,0.0
1.25,18.31730171225708,0.75,19.369773562013044,2.0,18.399701496480898,1.25,18.459160188184477,2.5,16.259416725171583,1.4444444,18.409192363901546
1.75,17.6540543112096,0.75,18.944044828287804,2.25,17.76665059568868,1.0,17.97415700727427,8.0,15.842298974933028,1.6666666,18.173170860683626
1.25,17.6502946302633,0.5,18.33473806709035,1.5,17.429727510048096,1.5,17.656920985664772,1.0,15.646032460531972,1.1111112,17.625774335655276
1.5,16.99526803333252,0.5,18.0257800324458,1.25,17.041906360260217,1.25,17.183393630047192,4.0,15.149303585908614,1.2222222,17.734341779931164
1.75,16.43633019247633,0.5,17.47272526715708,1.5,16.67932346444256,1.25,16.80672476766645,3.5,15.713782187533317,1.3333334,17.43081118208071
1.5,16.00900380869649,0.0,17.09525156542096,1.25,16.29361207775083,0.0,16.23510958852517,5.0,14.92025758577573,1.6666666,16.91292092845644
1.25,16.030317027070303,0.25,16.8045868606196,2.75,15.717743259674261,1.5,16.008658563788366,5.0,14.021232572842873,1.4444444,16.793157294441958
1.75,15.237185078154308,0.5,16.441951001477626,1.25,15.32228354506699,2.0,15.566132066104347,0.0,14.119893366596786,1.0,16.348013391455183
2.0,14.896760012294365,0.5,15.884714034157422,1.75,15.134033676921959,1.25,15.411484576131388,3.5,14.011557316031382,1.3333334,16.278975005369148
2.0,14.741630612941417,0.0,15.554004806624555,1.75,14.711667189046514,1.5,15.028095072775427,0.0,14.018173961646706,1.1111112,15.873656513505516
2.0,14.479682338156831,0.75,15.252352576181764,1.5,14.38850925649281,2.25,14.526816507260845,4.0,14.272278130469287,1.8888888,15.572728806730925
2.5,13.84233553230065,0.75,14.838638664074576,1.75,14.150550848183283,1.0,14.289979646345358,3.5,12.89385817698708,1.4444444,15.486097919151096
2.0,13.52614249743133,0.5,14.490492098407765,1.25,13.705717034466954,0.5,13.874255194916996,3.0,13.565914744448277,1.4444444,15.341653344301953
1.75,13.572678911403116,0.75,14.28816747681366,2.0,13.41264033731748,1.25,13.311925627479665,2.0,13.676805790382183,1.4444444,15.008819625050318
1.75,12.773523943352945,0.75,13.788321744326224,0.75,13.220566470765473,1.5,13.16079329954655,3.0,12.833268444117033,1.4444444,14.825465242407295
2.0,12.495547549939387,0.5,13.48498275266527,1.25,12.895504103966582,2.0,12.835315744526168,2.5,12.605743695232434,1.4444444,14.53675224490519
1.25,12.291331427405131,0.25,13.112010757630808,1.25,12.312655394983649,1.0,12.314738303555039,3.0,13.180945574777445,2.0,14.154452450726772
1.5,12.106430750623819,0.25,12.928603988187847,2.5,12.014111804112256,1.5,12.474338140366855,3.5,11.857832811370772,1.0,14.048646112015625
2.25,11.584709083781343,0.25,12.538441636910774,1.25,11.989718178232458,0.75,11.825474221155213,3.0,11.60066241648519,1.2222222,13.592210323609256
1.5,11.419293249988597,0.5,12.32348387514988,2.25,11.562376109442901,1.25,11.85078266912769,3.5,11.811456958141264,1.6666666,13.675135001031784
1.0,11.198851790902733,0.5,11.900579738994058,1.75,11.209870154773608,1.0,11.602564556653006,2.5,11.608188819043116,1.6666666,13.326181281409863
1.25,10.916017049877876,0.5,11.721686696181257,1.5,11.036017059374435,1.5,11.225226735449509,2.5,11.75969663043348,1.4444444,13.02416751250416
1.25,10.73807658849615,0.5,11.499939593439846,1.0,10.851120784368891,1.0,11.006924350695543,3.5,11.05859116455159,1.3333334,13.070625110818852
0.5,10.620531147592782,0.25,11.099516987956886,1.25,10.431841790779737,2.0,10.812021366953891,4.5,11.975866234968446,1.5555556,12.698742643687776
1.5,10.306866493730595,0.5,10.868542565848399,1.5,10.165402189969976,1.0,10.254127434309655,5.0,11.303292079393106,1.5555556,12.741745524593675
1.75,10.01630283334478,0.75,10.62983112078098,1.5,9.756345116804058,1.75,9.932462396404974,5.0,10.796601076430798,1.4444444,12.514462565424742
1.5,9.85873447964663,0.5,10.410327043894828,1.25,9.709571264543012,1.5,10.192639908754972,6.0,12.14550481163499,1.3333334,12.277128739342146
2.0,9.595103631419338,0.5,10.02410196642756,1.25,9.295960290021753,1.5,9.650535762918917,4.5,10.58322677209228,1.5555556,12.029520755682881
2.0,9.477745284899418,0.5,9.84570520025264,1.25,9.508181975849109,2.0,9.443941003319184,4.5,11.259834214749919,1.4444444,11.90758716835773
1.75,9.030561549219678,0.25,9.766239282292803,1.25,9.070807060927597,2.25,9.158031333333248,3.0,11.238968538186276,1.1111112,11.529947824566658
1.75,8.77860243567169,0.25,9.380104447791146,2.25,8.881370985858899,1.0,9.046199310116604,2.0,10.739714446035862,1.1111112,11.206422705774372
1.75,8.594745847363585,0.75,9.057361859587754,2.0,8.681361132001362,1.5,8.714773359899844,1.0,10.300180687399648,1.1111112,11.237982684387935
1.25,8.607662406748716,0.75,9.004190429474564,1.25,8.593062364254774,0.75,8.662417080608726,5.0,10.172195964484692,1.0,11.292891887395063
1.25,8.238957712915639,0.25,8.74003870496371,1.25,8.341153511222117,1.25,8.368788096347224,6.0,10.175860143568062,0.6666667,10.958044090421513
1.5,7.961641292705709,0.25,8.521509347926536,1.0,8.091133168096357,1.75,8.172333021160076,3.5,9.984507556888131,1.3333334,10.65013797607892
2.0,7.7757639801318845,0.75,8.428386928647605,2.0,8.052731951374422,1.5,8.04230372783514,2.0,9.842639523124182,1.6666666,10.463745237706762
1.0,7.431015889860811,0.75,8.00040991813657,0.75,7.689416102568201,1.5,7.593439712343872,3.5,10.352111188755226,1.6666666,10.532651814434583
2.0,7.489824673687953,0.5,7.91886755004306,1.75,7.439456111245542,1.5,7.616295879368198,5.5,9.473684772605496,1.6666666,10.236777553701195
