reward_A,loss_A,reward_B,loss_B,reward_C,loss_C,reward_D,loss_D,reward_E,loss_E,reward_F,loss_F
2.5,1.5,0.5,0.0,2.25,0.5,2.25,3.0,9.0,5.0,2.3333333,1.6666666
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
,,0.5,0.0,2.25,0.0,2.25,0.0,9.0,0.0,,
