reward_A,loss_A,reward_B,loss_B,reward_C,loss_C,reward_D,loss_D,reward_E,loss_E,reward_F,loss_F
1.0,0.0,0.75,0.0,1.0,0.0,0.5,0.0,3.5,0.0,1.6666666,0.0
1.5,0.0,0.75,0.0,2.5,0.0,2.0,0.0,5.0,0.0,1.5555556,0.0
1.25,0.0,0.25,0.0,,,1.5,0.0,2.5,0.0,1.3333334,0.0
1.75,0.0,0.0,0.0,,,1.5,0.0,6.5,0.0,1.2222222,0.0
1.75,0.0,0.0,0.0,,,1.0,0.0,4.5,0.0,1.2222222,0.0
2.0,0.0,0.5,0.0,,,1.5,0.0,4.5,0.0,1.5555556,0.0
2.25,0.0,0.5,0.0,,,2.25,0.0,1.0,0.0,1.0,0.0
,,0.75,0.0,,,2.5,0.0,4.5,0.0,1.6666666,0.0
,,0.75,0.0,,,,,5.5,0.0,1.4444444,0.0
,,0.5,0.0,,,,,7.0,0.0,1.3333334,0.0
,,0.75,0.0,,,,,3.5,0.0,1.4444444,0.0
,,0.75,0.0,,,,,3.5,0.0,1.4444444,0.0
,,0.25,0.0,,,,,6.5,0.0,1.0,0.0
,,0.5,0.0,,,,,3.5,0.0,1.5555556,0.0
,,0.25,0.0,,,,,5.5,0.0,1.0,0.0
,,0.0,0.0,,,,,2.0,0.0,1.3333334,0.0
,,0.75,0.0,,,,,3.5,0.0,1.0,0.0
,,0.25,0.0,,,,,3.5,0.0,0.8888889,0.0
,,0.5,0.0,,,,,3.5,0.0,1.6666666,0.0
,,0.5,0.0,,,,,3.5,0.0,1.6666666,0.0
,,1.0,0.0,,,,,2.5,0.0,1.5555556,0.0
,,,,,,,,5.5,0.0,1.6666666,0.0
,,,,,,,,3.0,0.0,1.7777778,0.0
,,,,,,,,2.5,0.0,1.1111112,0.0
,,,,,,,,2.5,0.0,1.2222222,0.0
,,,,,,,,5.0,0.0,0.7777778,0.0
,,,,,,,,4.5,0.0,1.5555556,0.0
,,,,,,,,6.0,0.0,1.7777778,0.0
,,,,,,,,2.0,0.0,1.4444444,0.0
,,,,,,,,5.0,0.0,1.2222222,0.0
,,,,,,,,3.0,0.0,1.8888888,0.0
,,,,,,,,1.0,4.752487573669258,1.8888888,4.2585110368613295
,,,,,,,,2.0,1.0562029484738464,1.1111112,0.8432900693676837
,,,,,,,,7.5,0.6767573722534111,1.6666666,0.44963469371849724
,,,,,,,,6.5,0.5450290843351198,1.6666666,0.33604495526609013
,,,,,,,,1.0,0.8683637554300443,2.0,0.4167872822389853
,,,,,,,,3.5,0.9626608373718488,1.4444444,0.4362987340100205
,,,,,,,,7.5,0.7802447423748331,1.7777778,0.4339363721993205
,,,,,,,,2.0,0.8214783534047208,1.2222222,0.3664736382256805
,,,,,,,,6.0,0.8260672778866226,1.4444444,0.29340870136957087
,,,,,,,,2.0,1.0728324430733713,1.4444444,0.3322161586934785
,,,,,,,,5.5,1.4685363315634996,1.5555556,0.3340501650073672
,,,,,,,,4.5,1.467068648546455,1.3333334,0.327997577169739
,,,,,,,,4.0,1.4582806139800992,1.2222222,0.32604596083252924
,,,,,,,,7.0,1.5356622188116642,1.4444444,0.3071345515146388
