reward_A,loss_A,reward_B,loss_B,reward_C,loss_C,reward_D,loss_D,reward_E,loss_E,reward_F,loss_F
1.75,0.0,0.25,0.0,1.25,0.0,1.0,0.0,4.0,0.0,1.2222222,0.0
1.0,0.0,0.25,0.0,1.25,0.0,1.0,0.0,5.0,0.0,1.7777778,0.0
1.0,0.0,0.5,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.7777778,0.0
0.75,0.0,0.0,0.0,1.5,0.0,2.0,0.0,4.5,0.0,1.5555556,0.0
1.5,0.0,0.5,0.0,2.25,0.0,0.25,0.0,6.0,0.0,1.5555556,0.0
1.5,0.0,0.5,0.0,0.5,0.0,1.5,0.0,7.0,0.0,1.5555556,0.0
1.5,0.0,0.5,0.0,1.25,0.0,1.5,0.0,3.5,0.0,1.1111112,0.0
1.0,0.0,0.75,0.0,1.5,0.0,1.5,0.0,5.5,0.0,1.6666666,0.0
2.0,0.0,1.0,0.0,1.25,0.0,2.25,0.0,4.5,0.0,1.2222222,0.0
2.25,0.0,,,1.5,0.0,0.25,0.0,2.0,0.0,1.5555556,0.0
,,,,1.5,0.0,2.0,0.0,1.0,0.0,1.4444444,0.0
,,,,1.25,0.0,1.75,0.0,3.0,0.0,1.5555556,0.0
,,,,1.25,0.0,0.75,0.0,2.5,0.0,2.0,0.0
,,,,2.0,0.0,1.0,0.0,2.0,0.0,1.1111112,0.0
,,,,1.25,0.0,0.0,0.0,1.0,0.0,1.3333334,0.0
,,,,1.75,0.0,2.5,0.0,4.0,0.0,1.0,0.0
,,,,0.75,0.0,,,5.5,0.0,1.1111112,0.0
,,,,1.75,0.0,,,3.5,0.0,1.5555556,0.0
,,,,1.25,0.0,,,2.0,0.0,1.5555556,0.0
,,,,1.5,0.0,,,1.0,0.0,1.3333334,0.0
,,,,1.25,0.0,,,7.5,0.0,1.5555556,0.0
,,,,0.75,0.0,,,3.5,0.0,1.8888888,0.0
,,,,1.75,0.0,,,3.0,0.0,1.8888888,0.0
,,,,1.25,0.0,,,2.0,0.0,2.1111112,0.0
,,,,2.25,0.0,,,3.5,0.0,1.3333334,0.0
,,,,1.25,0.0,,,4.0,0.0,1.8888888,0.0
,,,,2.25,0.0,,,0.0,0.0,1.0,0.0
,,,,1.25,0.0,,,6.0,0.0,1.0,0.0
,,,,1.0,0.0,,,3.5,0.0,1.6666666,0.0
,,,,2.0,0.0,,,8.5,0.0,1.3333334,0.0
,,,,1.5,0.0,,,4.5,0.0,1.6666666,0.0
,,,,1.75,3.2372104109375,,,4.5,2.9746875,1.7777778,3.8704671875
,,,,1.5,1.8111620885755157,,,1.0,2.465445625,1.8888888,2.785137929390625
,,,,2.5,1.0113518135450612,,,0.0,2.1449069981249984,2.0,1.956726620460044
,,,,,,,,4.5,1.896342559755,0.7777778,1.429309373182107
,,,,,,,,1.0,1.7426585989925132,1.2222222,1.2593347435941356
,,,,,,,,2.0,1.4459552279552135,1.7777778,1.0752090399319374
,,,,,,,,3.0,1.3477724779451075,1.4444444,0.839929255449587
,,,,,,,,2.5,1.2658799378536163,1.3333334,0.6795642242171832
,,,,,,,,4.0,1.267313544725951,1.0,0.6073778452283621
,,,,,,,,5.0,1.1048568720582534,1.6666666,0.48802112687844595
,,,,,,,,5.0,1.1964907688652298,2.0,0.4560547585814339
,,,,,,,,3.5,1.1754087679570615,2.0,0.4159669501669454
,,,,,,,,5.5,1.1737872926615744,1.0,0.45520715221910746
,,,,,,,,2.5,0.9266910167245137,1.6666666,0.36984047550778065
,,,,,,,,3.5,1.1103325983329344,1.7777778,0.384167370660897
,,,,,,,,5.0,0.9956525597589239,1.4444444,0.32856223912379184
,,,,,,,,3.0,1.0301526522191409,1.1111112,0.3591576765658984
,,,,,,,,6.0,0.8921791235907744,1.3333334,0.30958388331733305
,,,,,,,,5.5,0.997975505414233,1.2222222,0.40243599582763984
,,,,,,,,5.5,1.208200639335812,1.5555556,0.30860147208082755
,,,,,,,,4.5,1.0065201003377025,0.5555556,0.3721371080201245
,,,,,,,,4.0,1.0139888085685917,1.3333334,0.3860712485730794
,,,,,,,,0.0,1.182250065217985,1.1111112,0.36009581284040976
,,,,,,,,5.5,1.2737929547633964,1.0,0.3238084607737912
,,,,,,,,0.0,1.1041793690025772,2.0,0.35127784937258744
,,,,,,,,6.5,0.8474215731136363,1.5555556,0.289234979592375
,,,,,,,,1.0,1.1696357790025416,0.6666667,0.29787858986923066
,,,,,,,,5.5,1.2199478172604852,0.44444445,0.34529878457325053
,,,,,,,,2.5,1.165340796787118,1.3333334,0.346349990202707
,,,,,,,,1.0,0.8802520681930996,1.0,0.3045713868673643
,,,,,,,,4.5,0.7561608388863307,1.6666666,0.323316985852212
,,,,,,,,6.0,1.053676766574254,1.2222222,0.32534803482290847
,,,,,,,,4.5,0.8562389778662861,1.2222222,0.3731996759041564
,,,,,,,,2.5,1.1008577303358098,1.5555556,0.3452813651272488
,,,,,,,,4.5,0.8732442888555338,1.1111112,0.35814618939092296
,,,,,,,,7.0,0.5210160551860803,1.0,0.3724650690788348
,,,,,,,,4.5,0.7644432524770677,0.6666667,0.43094598986692884
,,,,,,,,0.0,0.7833044899083743,1.5555556,0.2881515848923263
,,,,,,,,4.5,0.9123432686955603,0.7777778,0.29630040599262597
,,,,,,,,1.0,0.7575241484039563,1.8888888,0.3397286304943182
,,,,,,,,2.0,0.8680570469243291,1.6666666,0.36774008424479343
,,,,,,,,3.5,1.0922152246684131,1.2222222,0.28516958825353306
,,,,,,,,4.5,0.5543536679226545,1.0,0.270013067286528
,,,,,,,,4.5,0.704340749732958,2.1111112,0.3833364095051065
,,,,,,,,4.5,0.9172608572580745,1.5555556,0.3063964261730953
,,,,,,,,3.5,1.061423532245595,1.6666666,0.3491183654321489
,,,,,,,,2.5,1.127131717968871,1.1111112,0.41963777628143273
,,,,,,,,4.0,0.6864617990761711,1.4444444,0.2736459093993908
,,,,,,,,4.5,0.4966439229758589,1.6666666,0.36684967795673756
,,,,,,,,6.5,0.6480959289279606,1.3333334,0.4091887969170119
,,,,,,,,7.5,0.5670243276536213,1.7777778,0.31874114235655643
,,,,,,,,5.0,1.0039228243317084,1.5555556,0.35792072614584164
,,,,,,,,5.0,1.0482370924376054,0.8888889,0.32067895453375383
,,,,,,,,1.0,0.9544912824474333,1.5555556,0.27595076297050186
,,,,,,,,4.0,0.6188864726972185,1.5555556,0.29994918536848914
,,,,,,,,6.0,0.8320598166396473,1.5555556,0.3724832868586861
,,,,,,,,4.0,0.9971426595127791,1.5555556,0.32709937494690206
,,,,,,,,6.5,0.9061625513859857,1.4444444,0.3070227092063344
,,,,,,,,3.5,0.6998110977920784,1.2222222,0.3447223039477375
,,,,,,,,1.0,0.7227534127185831,1.4444444,0.3273504052948007
,,,,,,,,8.5,0.9536763074499697,1.6666666,0.31567544377471884
,,,,,,,,3.0,0.8770938224918798,2.1111112,0.2897256164593655
,,,,,,,,7.0,0.8068082944978803,1.5555556,0.26341325238289043
,,,,,,,,6.0,0.7544685056125859,1.2222222,0.23133445912136852
,,,,,,,,4.0,0.8327370140013196,1.4444444,0.25344923544324244
,,,,,,,,5.5,0.759334937920647,1.6666666,0.2858442202004193
,,,,,,,,6.5,0.558781232142296,0.7777778,0.3075064142747439
,,,,,,,,5.0,0.4867447755052393,1.4444444,0.3002508587488166
,,,,,,,,3.5,0.3573429847286378,1.4444444,0.35051027477013297
,,,,,,,,2.0,0.6505447351521053,1.0,0.3646932613852311
,,,,,,,,2.0,0.7695697250086247,1.4444444,0.33148608031685706
,,,,,,,,0.0,0.770819093481615,1.0,0.3113737596407272
,,,,,,,,9.0,0.6994133251024041,0.5555556,0.3008121162568227
,,,,,,,,5.5,0.7563400396182687,1.4444444,0.2708582249772964
,,,,,,,,2.0,0.7033896995927746,1.0,0.2883274032532159
,,,,,,,,5.0,0.7563691248286936,1.4444444,0.34163299917928075
,,,,,,,,4.0,1.0041774943354675,1.3333334,0.2812813353393897
,,,,,,,,3.5,0.5463358423993301,1.4444444,0.3247843704343398
,,,,,,,,5.0,0.8140130495599386,1.4444444,0.2963472116510478
,,,,,,,,3.5,0.9336382859885412,1.4444444,0.24834020683855432
,,,,,,,,4.0,0.6615211729268972,1.6666666,0.35162649535428125
,,,,,,,,2.0,0.8196375058528441,1.0,0.35490957848287374
,,,,,,,,7.5,0.8551261941662839,1.4444444,0.27726103650053835
,,,,,,,,5.5,0.657584724870639,1.3333334,0.24902596125235005
,,,,,,,,6.0,0.7008913600587714,1.6666666,0.24964762037526828
,,,,,,,,4.0,0.9026024634601548,1.6666666,0.30305855647440083
,,,,,,,,2.5,0.7310317188426627,1.1111112,0.26824618862680144
,,,,,,,,6.5,0.7757784489664284,1.5555556,0.30608876911275257
,,,,,,,,5.0,0.7781374276055928,1.4444444,0.30969646159591924
,,,,,,,,2.0,0.9266056250565081,1.3333334,0.2943968305798483
,,,,,,,,3.5,1.0071365846012141,1.2222222,0.2527250801180105
,,,,,,,,7.5,1.3005817398620225,1.0,0.2894353095436957
,,,,,,,,5.0,0.9728807174506593,1.7777778,0.32382117211288564
,,,,,,,,4.0,0.8505738385114783,1.5555556,0.2577464953244441
,,,,,,,,2.5,0.7751193638698368,1.4444444,0.3411397029411325
,,,,,,,,3.5,0.6247162561113861,1.7777778,0.27851230334701094
,,,,,,,,3.0,1.2438580354231406,1.8888888,0.2773050861905644
,,,,,,,,6.0,0.6207681622887725,1.5555556,0.3494912356917431
,,,,,,,,2.5,0.8229191404872933,1.7777778,0.3252676167505767
,,,,,,,,4.0,0.9558885616985714,1.6666666,0.2937115442490306
